Broker,MessageSizeBytes,TargetRateMsgS,ProducerThroughputMsgS,ConsumerThroughputMsgS,Sent,Received,Lost,AvgLatencyMs,P95LatencyMs,ErrorsProducer,ErrorsConsumer,Degraded
rabbitmq,128,1000,999.9,621.6,10002,10002,0,1.13,2.57,0,0,NO
rabbitmq,128,5000,4606.48,2878.32,46075,46075,0,1.69,3.58,0,0,NO
rabbitmq,128,10000,5025.05,3127.87,50263,50263,0,1.58,2.88,0,0,NO
rabbitmq,1024,1000,999.91,623.81,10002,10002,0,0.98,1.97,0,0,NO
rabbitmq,1024,5000,4946.79,3074.94,49483,49483,0,2.75,14.55,0,0,NO
rabbitmq,1024,10000,5701.59,3554.79,57033,57033,0,3.73,20.28,0,0,NO
rabbitmq,10240,1000,999.8,624.81,10002,10002,0,1.52,3.1,0,0,NO
rabbitmq,10240,5000,4254.77,2639.21,42581,42581,0,4.97,23.45,0,0,NO
rabbitmq,10240,10000,4194.8,2611.87,41963,41963,0,4.62,22.87,0,0,NO
rabbitmq,102400,1000,799.38,497.39,8007,8007,0,19.06,29.98,0,0,NO
rabbitmq,102400,5000,707.89,439.44,7096,7096,0,33.86,53.44,0,0,NO
rabbitmq,102400,10000,642.61,395.17,6437,6437,0,28.55,49.41,0,0,NO
redis,128,1000,730.53,350.63,7306,7306,0,256.01,1099.49,0,0,YES
redis,128,5000,1117.6,696.25,11176,11176,0,52.69,113.62,0,0,NO
redis,128,10000,450.06,271.58,4501,4501,0,17.42,49.04,0,0,NO
redis,1024,1000,994.64,584.53,9947,9947,0,21.36,44.69,0,0,NO
redis,1024,5000,978.66,604.62,9787,9787,0,19.83,41.06,0,0,NO
redis,1024,10000,698.28,419.91,6983,6983,0,18.24,32.51,0,0,NO
redis,10240,1000,747.29,435.99,7474,7474,0,1.66,3.48,0,0,NO
redis,10240,5000,124.65,39.39,1247,1247,0,761.1,8168.21,0,0,YES
redis,10240,10000,517.49,257.54,5176,5176,0,3.92,10.95,0,0,NO
redis,102400,1000,80.95,48.25,810,810,0,12.99,45.82,0,0,NO
redis,102400,5000,57.98,34.34,581,581,0,17.84,47.55,0,0,NO
redis,102400,10000,59.18,35.44,594,594,0,17.37,47.41,0,0,NO
